Date,Bitcoin,Gold Spot Price,S&P 500,Bitcoin Confidence,Gold Confidence,S&P Confidence,Market Confidence
2014-01-01,1003750.0,6898.263027295286,15413.043268906673,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2014-02-01,689862.5,7314.58505652054,16118.12517454906,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2014-03-01,568537.5,7122.966639095672,16253.575246294744,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2014-04-01,561062.5,7105.045492142266,16373.713152091215,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2014-05-01,784750.0,6895.505927763992,16758.106299174684,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2014-06-01,801387.5,7251.1717673008,17104.26718285037,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2014-07-01,727550.0,7087.124345188861,16868.373154595094,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2014-08-01,598800.0,7089.881444720155,17543.215940061054,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2014-09-01,488862.49999999994,6708.023159636063,17297.210104103466,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2014-10-01,422487.50000000006,6419.906258615936,17719.69106019896,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2014-11-01,471262.5,6521.91894127378,18196.24611176918,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2014-12-01,401250.0,6612.903225806452,18150.405916852047,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2015-01-01,271125.0,6949.269368624207,17605.523936093374,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2015-02-01,316837.5,6694.237661979598,18617.3788268377,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2015-03-01,305300.0,6545.3542872897715,18322.932616839527,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2015-04-01,295250.0,6508.133443617315,18498.733616463946,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2015-05-01,286137.5,6569.616763165151,18736.60185479444,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2015-06-01,328125.0,6457.127102288393,18373.876867073064,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2015-07-01,355412.4999999999,6056.796250344638,18758.847831739517,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2015-08-01,287325.0,6258.615936035291,17627.047641059715,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2015-09-01,295250.0,6142.817755720982,17190.89166883348,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2015-10-01,387725.0,6299.145299145299,18641.021196275,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2015-11-01,470887.5,5855.527984560243,18696.443532776702,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2015-12-01,538612.5,5857.457954232148,18401.563959591287,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2016-01-01,460612.5,6130.686517783292,17488.419572607592,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2016-02-01,544037.5,6809.484422387648,17464.82535463554,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2016-03-01,518325.00000000006,6821.0642404190785,18649.592157089337,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2016-04-01,560462.5,7089.330024813896,18721.915657893467,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2016-05-01,664800.0,6683.760683760684,19058.1091882626,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2016-06-01,834937.5,7282.87841191067,19107.51259160816,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2016-07-01,779787.5,7400.055141990626,19811.968528202313,41.17560258166451,44.760308841639194,52.52549496825583,47.567490026955106
2016-08-01,713437.5,7219.465122690929,19839.800075116284,41.31398702192195,41.4118322627127,49.947524448267245,45.65032478325275
2016-09-01,760287.5,7292.5282602701955,19843.50773794047,41.51593967558775,42.73476415376974,49.33856532063783,45.67101739374919
2016-10-01,871262.5,7014.061207609595,19481.553173663073,41.67884312799875,40.317654394981936,47.28765023652057,44.211008935656295
2016-11-01,927575.0,6496.277915632754,20203.0547289554,41.453953229643375,36.47696021315608,48.992927691724304,44.22804185738638
2016-12-01,1207875.0,6391.508133443617,20602.37483026608,41.72919979459486,34.468747452315405,49.22507116181359,44.02504500974833
2017-01-01,1204987.5,6687.620623104494,20993.123970762434,41.79101963571991,37.95880883321599,51.23210639775499,45.74512085623667
2017-02-01,1489012.5,6923.628342983182,21826.722137154633,42.36409359546189,40.20765106571312,51.867626618634894,46.68457160109864
2017-03-01,1337887.5,6864.3507030603805,21852.14611080615,42.43159577013052,41.231541152822295,52.07979204834289,47.01568298577506
2017-04-01,1687762.5,6983.4574028122415,22076.58009033214,43.296525392164284,43.588501136929096,50.99292521749453,47.20312045378237
2017-05-01,2872512.5000000005,6982.078853046595,22387.253344119257,44.8756797169218,42.947434112853365,50.09174909035173,47.098065282823086
2017-06-01,3081862.4999999995,6850.0137854976565,22526.988896272112,45.796774155771764,41.20951230465503,50.10283636221984,47.03235288877245
2017-07-01,3569762.5,6989.523021781086,22990.205991968334,49.281434283660666,41.002515912985665,53.06016743601369,49.51501718570218
2017-08-01,5917825.0,7233.250620347395,23060.603434162495,53.213970987796465,44.16006414631486,49.4611982908791,49.52680327104146
2017-09-01,5407612.5,7075.268817204301,23536.291759358235,52.153505352751154,43.230425923482194,51.54203836657615,50.063155973809856
